#,Class,Who,Progress,Num,Denom,✓,,Name,Requirements,Rewards,Incomplete,Actual Requirements (if different),Description,Icon Name,Tab,Actual Name,Time,Responsibility
633,Subset,,,0,0,FALSE,,Village Settler,Trade for a new bell to establish a new village,5 Emeralds,,,Trade for a new bell to establish a new village,bell,Adventure,blazeandcave:adventure/village_settler,,
634,Child,,,0,0,FALSE,,Town Planner,Craft and place every type of villager workstation (See requirement notes below),5 Emeralds,,See requirement notes below,Craft and place every type of villager workstation,stonecutter,Adventure,blazeandcave:adventure/town_planner,,All Items
635,Subset,,,0,0,FALSE,,Workaholic,Craft a stack of all the villager job site blocks (See requirement notes below),16 Emeralds,,See requirement notes below,Craft a stack of all the villager job site blocks,brewing_stand,Adventure,blazeandcave:adventure/workaholic,,
636,Subset,,,0,0,FALSE,,Professional,Trade with a villager at master level,5 Emeralds,,,Trade with a villager at master level,loom,Adventure,blazeandcave:adventure/professional,,
637,Subset,,,0,0,FALSE,,Businessman,Trade with every type of villager career (See requirement notes below),10 Emeralds,,See requirement notes below,Trade with every type of villager career,fletching_table,Adventure,blazeandcave:adventure/businessman,,
638,Subset,,,0,0,FALSE,,The Tribal Villagers,Breed and trade with a jungle villager,8 Emeralds,,,Breed and trade with a jungle villager,jungle_log,Adventure,blazeandcave:adventure/the_tribal_villagers,,
639,Subset,,,0,0,FALSE,,Lilypad Hatter,Breed and trade with a swamp villager,8 Emeralds,,,Breed and trade with a swamp villager,lily_pad,Adventure,blazeandcave:adventure/lilypad_hatter,,
640,Unique,,,0,0,FALSE,,Star Trader,"Trade with a villager at the build height limit (Trade with a villager who is standing at y-level 319 or higher in the Overworld, or y-level 255 or higher in the Nether or End)",16 Emeralds,,"Trade with a villager who is standing at y-level 319 or higher in the Overworld, or y-level 255 or higher in the Nether or End",Trade with a villager at the build height limit,nether_star,Adventure,minecraft:adventure/trade_at_world_height,,World Height
641,Unique,,,0,0,FALSE,,Master Trader,Trade with every type of villager career at master level (See requirement notes below),32 Emeralds,,See requirement notes below,Trade with every type of villager career at master level,grindstone,Adventure,blazeandcave:adventure/master_trader,,Trader
642,Subset,,,0,0,FALSE,,Knowledge is Power,Trade for an enchanted book,,,,Trade for an enchanted book,enchanted_book,Adventure,blazeandcave:adventure/knowledge_is_power,,
643,Subset,,,0,0,FALSE,,Rare Candy Shop,Trade for a Bottle o’ Enchanting from a Cleric,8 Emeralds,,,Trade for a Bottle o’ Enchanting from a Cleric,experience_bottle,Adventure,blazeandcave:adventure/rare_candy_shop,,
644,Subset,,,0,0,FALSE,,All chained up,Trade for a piece of chain armor from an armorer villager,,,,Trade for a piece of chain armor from an armorer villager,chainmail_chestplate,Adventure,blazeandcave:adventure/all_chained_up,,
645,Subset,,,0,0,FALSE,,Retro Future Knight,Trade for a full suit of chain armor from an armorer villager,4 Emeralds,,,Trade for a full suit of chain armor from an armorer villager,chainmail_helmet,Adventure,blazeandcave:adventure/retro_future_knight,,
646,Subset,,,0,0,FALSE,,Mapmaker,Craft or trade an empty map (Obtain an empty map),,,Obtain an empty map,Craft or trade an empty map,map,Adventure,blazeandcave:adventure/mapmaker,,
647,Subset,,,0,0,FALSE,,Mapmaker's Table,Craft a cartography table with paper and planks (Obtain a cartography table),,,Obtain a cartography table,Craft a cartography table with paper and planks,cartography_table,Adventure,blazeandcave:adventure/mapmakers_table,,
648,Unique,,,0,0,FALSE,,I'm not lost anymore!,Right-click a banner with a map,,,,Right-click a banner with a map,blue_banner,Adventure,blazeandcave:adventure/im_not_lost_anymore,,Misc
649,Child,,,0,0,FALSE,,Map Room,Place a map in an item frame,,,,Place a map in an item frame,item_frame,Adventure,blazeandcave:adventure/map_room,,All Items
650,Child,,,0,0,FALSE,,Treasure Map,Trade for an explorer map,,,,Trade for an explorer map,filled_map,Adventure,blazeandcave:adventure/treasure_map,,Pacelocks
651,Subset,,,0,0,FALSE,,Monumental,Find an Ocean Monument,1 Pufferfish,,,Find an Ocean Monument,prismarine,Adventure,blazeandcave:adventure/monumental,,
652,Subset,,,0,0,FALSE,,Laser Sharks!,Defeat a Guardian,"8 Prismarine Shards, 3 Prismarine Crystals",,,Defeat a Guardian,prismarine_shard,Adventure,blazeandcave:adventure/laser_sharks,,
653,Unique,,,0,0,FALSE,,Spear Fishing,Kill a Guardian with arrows,"16 Prismarine Shards, 8 Prismarine Crystals",,,Kill a Guardian with arrows,arrow,Adventure,blazeandcave:adventure/spear_fishing,,All Mobs
654,Subset,,,0,0,FALSE,,Guardian Destroyer,Collect a stack of prismarine shards and crystals,"8 Prismarine Shards, 8 Prismarine Crystals",,,Collect a stack of prismarine shards and crystals,guardian_spawn_egg,Adventure,blazeandcave:adventure/guardian_destroyer,,
655,Subset,,,0,0,FALSE,,The Deep End,Defeat an Elder Guardian,1 Wet Sponge,,,Defeat an Elder Guardian,prismarine_crystals,Adventure,blazeandcave:adventure/the_deep_end,,
656,Subset,,,0,0,FALSE,,Dry Spell,Dry a sponge in a furnace (Obtain a (Dry) Sponge),,,Obtain a (Dry) Sponge,Dry a sponge in a furnace,wet_sponge,Adventure,blazeandcave:adventure/dry_spell,,
657,Subset,,,0,0,FALSE,,Sponge Miner,Collect a stack of sponges from ocean monuments (Obtain 64 (Dry) Sponges),8 Sponges,,Obtain 64 (Dry) Sponges,Collect a stack of sponges from ocean monuments,sponge,Adventure,blazeandcave:adventure/sponge_miner,,
658,Subset,,,0,0,FALSE,,House of Psychos,Find a Woodland Mansion,4 Emeralds,,,Find a Woodland Mansion,dark_oak_door,Adventure,blazeandcave:adventure/house_of_psychos,,
659,Unique,,,0,0,FALSE,,Heeere's Johnny!,Kill a Vindicator in a Woodland Mansion (Kill a Vindicator that is within the bounding-box of a Woodland Mansion),2 Emeralds,,Kill a Vindicator that is within the bounding-box of a Woodland Mansion,Kill a Vindicator in a Woodland Mansion,iron_axe,Adventure,blazeandcave:adventure/heres_johnny,,Looter
660,Subset,,,0,0,FALSE,,The Shielding,A shield does no better than a locked door (Block a Vindicator's attack with a shield),3 Emeralds,,Block a Vindicator's attack with a shield,A shield does no better than a locked door,shield,Adventure,blazeandcave:adventure/the_shielding,,
661,Subset,,,0,0,FALSE,,Ghostbuster!,Bust a Vex summoned by an Evoker,2 Emeralds,,,Bust a Vex summoned by an Evoker,iron_sword,Adventure,blazeandcave:adventure/ghostbuster,,
662,Unique,,,0,0,FALSE,,Wololo!,Defeat an Evoker in a Woodland Mansion (Kill an Evoker that is within the bounding-box of a Woodland Mansion),4 Emeralds,,Kill an Evoker that is within the bounding-box of a Woodland Mansion,Defeat an Evoker in a Woodland Mansion,totem_of_undying,Adventure,blazeandcave:adventure/wololo,,Looter
663,Unique,,,0,0,FALSE,,Postmortal,Use a Totem of Undying to cheat death,1 Totem of Undying,,,Use a Totem of Undying to cheat death,totem_of_undying,Adventure,minecraft:adventure/totem_of_undying,,Misc
664,Incidental,,,0,0,FALSE,,Minecraft: Trial(s) Edition,Step foot in a Trial Chamber,,,,Step foot in a Trial Chamber,chiseled_tuff,Adventure,minecraft:adventure/minecraft_trials_edition,,
665,Subset,,,0,0,FALSE,,This will be a breeze!,Famous last words. Get killed by a Breeze,,,,Famous last words. Get killed by a Breeze,trial_spawner,Adventure,blazeandcave:adventure/this_will_be_a_breeze,,
666,Subset,,,0,0,FALSE,,Break Wind,Defeat a Breeze in the Trial Chambers (Defeat a Breeze),3 Breeze Rods,,Defeat a Breeze,Defeat a Breeze in the Trial Chambers,breeze_rod,Adventure,blazeandcave:adventure/break_wind,,
667,Unique,,,0,0,FALSE,,Who Needs Rockets?,Use a Wind Charge to launch yourself upward at least 8 blocks (Be launched upward at least 8 blocks from a player-thrown Wind Charge),8 Wind Charges,,Be launched upward at least 8 blocks from a player-thrown Wind Charge,Use a Wind Charge to launch yourself upward at least 8 blocks,wind_charge,Adventure,minecraft:adventure/who_needs_rockets,,Trials
668,Subset,,,0,0,FALSE,,Breeze Suppressor,Defeat enough Breezes to collect a stack of Breeze Rods (Obtain 64 Breeze Rods),8 Breeze Rods,,Obtain 64 Breeze Rods,Defeat enough Breezes to collect a stack of Breeze Rods,breeze_spawn_egg,Adventure,blazeandcave:adventure/breeze_suppressor,,Trials
669,Unique,,,0,0,FALSE,,From Under Your Feet,Throw a Wind Charge at a mob that is standing on top of a trapdoor (The Wind Charge must hit the mob and damage it),8 Wind Charges,,The Wind Charge must hit the mob and damage it,Throw a Wind Charge at a mob that is standing on top of a trapdoor,oxidized_copper_trapdoor,Adventure,blazeandcave:adventure/from_under_your_feet,,Misc
670,Unique,,,0,0,FALSE,,Blowback,Kill a Breeze with a deflected Wind Charge (Hit a breeze-fired Wind Charge back at a Breeze such that it kills it. Note: They only do half a heart of damage),8 Breeze Rods,,Hit a breeze-fired Wind Charge back at a Breeze such that it kills it. Note: They only do half a heart of damage,Kill a Breeze with a deflected Wind Charge,breeze_rod,Adventure,minecraft:adventure/blowback,,Trials
671,Incidental,,,0,0,FALSE,,Under Lock and Key,Unlock a Vault using a Trial Key,1 Trial Key,,,Unlock a Vault using a Trial Key,trial_key,Adventure,minecraft:adventure/under_lock_and_key,,
672,Incidental,,,0,0,FALSE,,Hard Mode Activated,Drink an Ominous Bottle in a Trial Chamber to cast a greater challenge (Get the Trial Omen effect),,,Get the Trial Omen effect,Drink an Ominous Bottle in a Trial Chamber to cast a greater challenge,ominous_bottle,Adventure,blazeandcave:adventure/hard_mode_activated,,
673,Incidental,,,0,0,FALSE,,Revaulting,Unlock an Ominous Vault with an Ominous Trial Key,"1 Ominous Trial Key (2 extra if you have obtained ""Vault Hunter"")",,,Unlock an Ominous Vault with an Ominous Trial Key,ominous_trial_key,Adventure,minecraft:adventure/revaulting,,
674,Unique,,,0,0,FALSE,,Vault Hunter,Unlock 25 Vaults across Trial Chambers (This counts both Vaults and Ominous Vaults),"2 Trial Keys (also 2 Ominous Trial Keys if you have obtained ""Revaulting"")",,This counts both Vaults and Ominous Vaults,Unlock 25 Vaults across Trial Chambers,vault,Adventure,blazeandcave:adventure/vault_hunter,,Trials
675,Unique,,,0,0,FALSE,,Keys to Success,Collect a stack of all kinds of keys (Obtain 64 Trial Keys and 64 Ominous Trial Keys),,,Obtain 64 Trial Keys and 64 Ominous Trial Keys,Collect a stack of all kinds of keys,trial_key,Adventure,blazeandcave:adventure/keys_to_success,,
676,Unique,,,0,0,FALSE,,Tricky Treasures,Collect every kind of treasure item that can only be found in Trial Chambers (See requirement notes below),,,See requirement notes below,Collect every kind of treasure item that can only be found in Trial Chambers,music_disc_creator,Adventure,blazeandcave:adventure/tricky_treasures,,Trials
677,Subset,,,0,0,FALSE,,Omniscient,"Collect a stack of one tier of Ominous Bottles (Obtain 64 Ominous Bottles of a single kind, so that they stack into a single slot)",,,"Obtain 64 Ominous Bottles of a single kind, so that they stack into a single slot",Collect a stack of one tier of Ominous Bottles,ominous_bottle,Adventure,blazeandcave:adventure/omniscient,,Trials
678,Subset,,,0,0,FALSE,,Redstone,Cracking contraptions (Obtain redstone dust),,,Obtain redstone dust,Cracking contraptions,redstone,Redstone,blazeandcave:redstone/root,,
679,Incidental,,,0,0,FALSE,,Click!,Place and push a button (Press any button),,,Press any button,Place and push a button,oak_button,Redstone,blazeandcave:redstone/click,,
680,Incidental,,,0,0,FALSE,,Leveraging Synergy,Flick a lever,,,,Flick a lever,lever,Redstone,blazeandcave:redstone/leveraging_synergy,,
681,Incidental,,,0,0,FALSE,,Under Pressure,Step on a pressure plate (Step on any pressure plate),,,Step on any pressure plate,Step on a pressure plate,stone_pressure_plate,Redstone,blazeandcave:redstone/under_pressure,,
682,Subset,,,0,0,FALSE,,Pressure Detector,Use a pressure plate to craft a detector rail (Obtain a Detector Rail),,,Obtain a Detector Rail,Use a pressure plate to craft a detector rail,detector_rail,Redstone,blazeandcave:redstone/pressure_detector,,
683,Subset,,,0,0,FALSE,,Metal Plate,Craft an iron weighted pressure plate (Obtain a Heavy Weighted Pressure Plate),,,Obtain a Heavy Weighted Pressure Plate,Craft an iron weighted pressure plate,heavy_weighted_pressure_plate,Redstone,blazeandcave:redstone/metal_plate,,
684,Subset,,,0,0,FALSE,,Bling Plate,Craft a golden weighted pressure plate (Obtain a Light Weighted Pressure Plate),,,Obtain a Light Weighted Pressure Plate,Craft a golden weighted pressure plate,light_weighted_pressure_plate,Redstone,blazeandcave:redstone/bling_plate,,
685,Subset,,,0,0,FALSE,,Tripping Over,"Place a line of string between two tripwire hooks, and trigger it (Stand on an attached line of tripwire that has not been defused)",,,Stand on an attached line of tripwire that has not been defused,"Place a line of string between two tripwire hooks, and trigger it",tripwire_hook,Redstone,blazeandcave:redstone/tripping_over,,
686,Child,,,0,0,FALSE,,Troll Chest,Trigger a trapped chest. Good for trolling your friends! (Open a Trapped Chest),,,Open a Trapped Chest,Trigger a trapped chest. Good for trolling your friends!,trapped_chest,Redstone,blazeandcave:redstone/troll_chest,,All Items
687,Subset,,,0,0,FALSE,,Powerful Light,Craft and place a redstone torch (Place a Redstone Torch),4 Redstone Torches,,Place a Redstone Torch,Craft and place a redstone torch,redstone_torch,Redstone,blazeandcave:redstone/powerful_light,,
688,Subset,,,0,0,FALSE,,Repeating Repeater,Craft a redstone repeater for delaying signals (Obtain a Redstone Repeater),,,Obtain a Redstone Repeater,Craft a redstone repeater for delaying signals,repeater,Redstone,blazeandcave:redstone/repeating_repeater,,
689,Subset,,,0,0,FALSE,,Quirky Quartz,Mine Nether Quartz (Obtain Nether Quartz),4 Nether Quartz,,Obtain Nether Quartz,Mine Nether Quartz,quartz,Redstone,blazeandcave:redstone/quirky_quartz,,
690,Subset,,,0,0,FALSE,,Comparing Comparator,Craft a redstone comparator (Obtain a Redstone Comparator),,,Obtain a Redstone Comparator,Craft a redstone comparator,comparator,Redstone,blazeandcave:redstone/comparing_comparator,,
691,Unique,,,0,0,FALSE,,The Power of Books,Read the power signal of a Chiseled Bookshelf using a comparator (Place a comparator facing outwards from a Chiseled Bookshelf OR place a Chiseled Bookshelf behind a comparator),,,Place a comparator facing outwards from a Chiseled Bookshelf OR place a Chiseled Bookshelf behind a comparator,Read the power signal of a Chiseled Bookshelf using a comparator,chiseled_bookshelf,Redstone,minecraft:adventure/read_power_of_chiseled_bookshelf,,Crafting
692,Subset,,,0,0,FALSE,,Solar Power,Craft a daylight sensor (Obtain a Daylight Detector),,,Obtain a Daylight Detector,Craft a daylight sensor,daylight_detector,Redstone,blazeandcave:redstone/solar_power,,
693,Subset,,,0,0,FALSE,,Observer Buddy,Craft an observer (Obtain an Observer),,,Obtain an Observer,Craft an observer,observer,Redstone,blazeandcave:redstone/observer_buddy,,
694,Subset,,,0,0,FALSE,,Quartz Miner,Mine enough nether quartz to craft a stack of nether quartz blocks (Obtain 64 Quartz Blocks),8 Quartz Blocks,,Obtain 64 Quartz Blocks,Mine enough nether quartz to craft a stack of nether quartz blocks,quartz_block,Redstone,blazeandcave:redstone/quartz_miner,,
695,Subset,,,0,0,FALSE,,Space Hopper,Craft a hopper for item transportation (Obtain a Hopper),,,Obtain a Hopper,Craft a hopper for item transportation,hopper,Redstone,blazeandcave:redstone/space_hopper,,
696,Subset,,,0,0,FALSE,,Space Dropper,Craft a dropper for item transportation (Obtain a Dropper),,,Obtain a Dropper,Craft a dropper for item transportation,dropper,Redstone,blazeandcave:redstone/space_dropper,,
697,Subset,,,0,0,FALSE,,Dispense With This,Construct a dispenser (Obtain a Dispenser),,,Obtain a Dispenser,Construct a dispenser,dispenser,Redstone,blazeandcave:redstone/dispense_with_this,,
698,Unique,,,0,0,FALSE,,We Have Liftoff!,Build a redstone machine that uses TNT to launch you at least 100 blocks into the stratosphere (An explosion from TNT must launch you at least 100 blocks upward),32 TNT,,An explosion from TNT must launch you at least 100 blocks upward,Build a redstone machine that uses TNT to launch you at least 100 blocks into the stratosphere,tnt,Redstone,blazeandcave:redstone/we_have_liftoff,,
699,Subset,,,0,0,FALSE,,Target Acquired,Put up a Target for archery practise (Place a Target),,,Place a Target,Put up a Target for archery practise,target,Redstone,blazeandcave:redstone/target_acquired,,
700,Unique,,,0,0,FALSE,,Target Practise,Hit a Target with all types of projectiles (See requirement notes below),,,See requirement notes below,Hit a Target with all types of projectiles,trident,Redstone,blazeandcave:redstone/target_practise,,Misc
701,Unique,,,0,0,FALSE,,Bullseye,Hit the bullseye of a Target Block with an arrow (Output a signal strength of 15 on a Target using an arrow from 30 blocks away),"16 Arrows, 1 Infinity Enchanted Book",,Output a signal strength of 15 on a Target using an arrow from 30 blocks away,Hit the bullseye of a Target Block with an arrow,arrow,Redstone,minecraft:adventure/bullseye,,Mob Misc.
702,Incidental,,,0,0,FALSE,,Craftception,Craft a Crafter (Obtain a Crafter),1 Crafter,,Obtain a Crafter,Craft a Crafter,crafter,Redstone,blazeandcave:redstone/craftception,,
703,Unique,,,0,0,FALSE,,Crafters Crafting Crafters,Be near a Crafter when it crafts a Crafter,3 Crafters,,,Be near a Crafter when it crafts a Crafter,crafting_table,Redstone,minecraft:adventure/crafters_crafting_crafters,,Crafting
704,Unique,,,0,0,FALSE,,Factorio,Be near a Crafter when it crafts a Dispenser 64 times,8 Bows,,,Be near a Crafter when it crafts a Dispenser 64 times,dispenser,Redstone,blazeandcave:redstone/factorio,,Crafting
705,Subset,,,0,0,FALSE,,Moving Parts,Craft a piston so you can push things (Obtain a piston),,,Obtain a piston,Craft a piston so you can push things,piston,Redstone,blazeandcave:redstone/moving_parts,,
706,Subset,,,0,0,FALSE,,Sticky Parts,Craft a sticky piston so you can pull things (Obtain a sticky piston),3 Slimeballs,,Obtain a sticky piston,Craft a sticky piston so you can pull things,sticky_piston,Redstone,blazeandcave:redstone/sticky_parts,,
707,Subset,,,0,0,FALSE,,Engineer,Craft all types of redstone components (See requirement notes below),64 Redstone,,See requirement notes below,Craft all types of redstone components,redstone_torch,Redstone,blazeandcave:redstone/engineer,,
708,Subset,,,0,0,FALSE,,Master Engineer,Craft a stack of all types of redstone components (See requirement notes below),16 Redstone Blocks,,See requirement notes below,Craft a stack of all types of redstone components,redstone_block,Redstone,blazeandcave:redstone/master_engineer,,
709,Subset,,,0,0,FALSE,,Mozart,Craft a note block (Obtain a note block),,,Obtain a note block,Craft a note block,note_block,Redstone,blazeandcave:redstone/mozart,,
710,Unique,,,0,0,FALSE,,Take Notes,Tune a Note Block through every possible note,8 Note Blocks,,,Tune a Note Block through every possible note,stick,Redstone,blazeandcave:redstone/take_notes,,Music
711,Unique,,,0,0,FALSE,,Noteworthy,Play every possible instrument on a Note Block (See requirement notes below),,,See requirement notes below,Play every possible instrument on a Note Block,emerald_block,Redstone,blazeandcave:redstone/noteworthy,,Music
712,Unique,,,0,0,FALSE,,Travelling Bard,Play a Note Block in every type of biome (See requirement notes below),16 Note Blocks,,See requirement notes below,Play a Note Block in every type of biome,jukebox,Redstone,blazeandcave:redstone/travelling_bard,,Explorer
713,Unique,,,0,0,FALSE,,Monstrous Music,"Play Note Blocks with each type of mob head above it (Play a note block with a Zombie, Skeleton, Wither Skeleton, Creeper, Piglin and Dragon Head on top)",1 Brown Shulker Box containing 32 Note Blocks and 1 of each type of head,,"Play a note block with a Zombie, Skeleton, Wither Skeleton, Creeper, Piglin and Dragon Head on top",Play Note Blocks with each type of mob head above it,piglin_head,Redstone,blazeandcave:redstone/monstrous_music,,Music
714,Subset,,,0,0,FALSE,,All Aboard!,Craft and board a Minecart for railway journeys (Ride a Minecart),16 Rails,,Ride a Minecart,Craft and board a Minecart for railway journeys,minecart,Redstone,blazeandcave:redstone/all_aboard,,
715,Subset,,,0,0,FALSE,,Fuel Engine,Craft a Minecart with Furnace and use coal or charcoal to send it chugging (Use coal or charcoal on a Minecart with Furnace),,,Use coal or charcoal on a Minecart with Furnace,Craft a Minecart with Furnace and use coal or charcoal to send it chugging,furnace_minecart,Redstone,blazeandcave:redstone/fuel_engine,,
716,Subset,,,0,0,FALSE,,Moving Storage,Put a chest in a minecart (Obtain a Minecart with Chest),,,Obtain a Minecart with Chest,Put a chest in a minecart,chest_minecart,Redstone,blazeandcave:redstone/moving_storage,,
717,Subset,,,0,0,FALSE,,Moving Moving Storage,Put a hopper in a minecart (Obtain a Minecart with Hopper),,,Obtain a Minecart with Hopper,Put a hopper in a minecart,hopper_minecart,Redstone,blazeandcave:redstone/moving_moving_storage,,
718,Subset,,,0,0,FALSE,,Mobile Explosion,Put TNT in a minecart (Obtain a Minecart with TNT),,,Obtain a Minecart with TNT,Put TNT in a minecart,tnt_minecart,Redstone,blazeandcave:redstone/mobile_explosion,,
719,Subset,,,0,0,FALSE,,Electric Rails,Making furnace minecarts completely useless (Obtain a Powered Rail),6 Powered Rails,,Obtain a Powered Rail,Making furnace minecarts completely useless,powered_rail,Redstone,blazeandcave:redstone/electric_rails,,
720,Subset,,,0,0,FALSE,,Railwayman,"Craft a stack of all the different types of rails (Obtain 64 of each of Rails, Powered Rails, Detector Rails and Activator Rails)",32 Rails,,"Obtain 64 of each of Rails, Powered Rails, Detector Rails and Activator Rails",Craft a stack of all the different types of rails,activator_rail,Redstone,blazeandcave:redstone/railwayman,,
721,Unique,,,0,0,FALSE,,On A Rail,Travel by Minecart in a straight line to at least 1 km from where you started,"128 Rails, 16 Powered Rails",,,Travel by Minecart in a straight line to at least 1 km from where you started,rail,Redstone,blazeandcave:redstone/on_a_rail,,Misc
722,Subset,,,0,0,FALSE,,Vibe Check,Use Silk Touch to pick up a Sculk Sensor or find one among Ancient City treasure (Obtain a Sculk Sensor),3 Sculk Sensors,,Obtain a Sculk Sensor,Use Silk Touch to pick up a Sculk Sensor or find one among Ancient City treasure,sculk_sensor,Redstone,blazeandcave:redstone/vibe_check,,
723,Subset,,,0,0,FALSE,,Calibration Sensation,Craft a Calibrated Sculk Sensor using Amethyst Shards (Obtain a Calibrated Sculk Sensor),8 Amethyst Shards,,Obtain a Calibrated Sculk Sensor,Craft a Calibrated Sculk Sensor using Amethyst Shards,calibrated_sculk_sensor,Redstone,blazeandcave:redstone/calibration_sensation,,
724,Subset,,,0,0,FALSE,,The Block of Eternal Screaming,Use Silk Touch to pick up a Sculk Shrieker (Obtain a Sculk Shrieker),,,Obtain a Sculk Shrieker,Use Silk Touch to pick up a Sculk Shrieker,sculk_shrieker,Redstone,blazeandcave:redstone/the_block_of_eternal_screaming,,
725,Subset,,,0,0,FALSE,,The Incredible Sculk,"Collect a stack of all sculk-related blocks (Collect a stack of: Sculk, Sculk Veins, Sculk Sensors, Sculk Catalysts, Sculk Shriekers and Calibrated Sculk Sensors)",64 Sculk,,"Collect a stack of: Sculk, Sculk Veins, Sculk Sensors, Sculk Catalysts, Sculk Shriekers and Calibrated Sculk Sensors",Collect a stack of all sculk-related blocks,sculk_vein,Redstone,blazeandcave:redstone/the_incredible_sculk,,
726,Unique,,,0,0,FALSE,,Sculker Box,Hold a Shulker Box that is completely filled with Sculk,4 Shulker Shells,,,Hold a Shulker Box that is completely filled with Sculk,cyan_shulker_box,Redstone,blazeandcave:redstone/sculker_box,,Ancient City
727,Subset,,,0,0,FALSE,,Cataclyst,Kill a Wither near a Sculk Catalyst to unleash a large explosion of sculk,8 Sculk Catalysts,,,Kill a Wither near a Sculk Catalyst to unleash a large explosion of sculk,nether_star,Redstone,blazeandcave:redstone/cataclyst,,
728,Unique,,,0,0,FALSE,,Monstrous Sacrifices,"Kill every hostile monster near a Sculk Catalyst (See the requirement notes for ""Monsters Hunted"" in the Adventure tab. Ender Dragon is not required)",8 Sculk Catalysts,,"See the requirement notes for ""Monsters Hunted"" in the Adventure tab. Ender Dragon is not required",Kill every hostile monster near a Sculk Catalyst,sculk_catalyst,Redstone,blazeandcave:redstone/monstrous_sacrifices,,All Mobs
729,Subset,,,0,0,FALSE,,Enchanting,Enchant items to give them magical abilities (Enchant an item at an enchanting table),,,Enchant an item at an enchanting table,Enchant items to give them magical abilities,enchanting_table,Enchanting,blazeandcave:enchanting/root,,
730,Subset,,,0,0,FALSE,,Librarian,Build some bookshelves for your enchanting table (Obtain a bookshelf),2 Bookshelves,,Obtain a bookshelf,Build some bookshelves for your enchanting table,bookshelf,Enchanting,blazeandcave:enchanting/librarian,,
731,Subset,,,0,0,FALSE,,Magical Stockpile,Obtain a full stack of bottles of enchanting,,,,Obtain a full stack of bottles of enchanting,experience_bottle,Enchanting,blazeandcave:enchanting/magical_stockpile,,
732,Subset,,,0,0,FALSE,,Bow down to me!,Obtain Power V (Obtain Power V on any item (Bow or Enchanted Book)),12 Lapis Lazuli,,Obtain Power V on any item (Bow or Enchanted Book),Obtain Power V,bow,Enchanting,blazeandcave:enchanting/bow_down_to_me,,
733,Child,,,0,0,FALSE,,To Infinity And Beyond!,Obtain Infinity on a bow,12 Lapis Lazuli,,,Obtain Infinity on a bow,arrow,Enchanting,blazeandcave:enchanting/to_infinity_and_beyond,,XP
734,Subset,,,0,0,FALSE,,Super Efficient,Obtain Efficiency V (Obtain Efficiency V on any item),12 Lapis Lazuli,,Obtain Efficiency V on any item,Obtain Efficiency V,iron_pickaxe,Enchanting,blazeandcave:enchanting/super_efficient,,
735,Subset,,,0,0,FALSE,,Fortunate Son,Obtain Fortune III (Obtain Fortune III on any item),12 Lapis Lazuli,,Obtain Fortune III on any item,Obtain Fortune III,golden_pickaxe,Enchanting,blazeandcave:enchanting/fortunate_son,,
736,Subset,,,0,0,FALSE,,Pick Like Silk,Use a Silk Touch enchanted pickaxe to obtain diamond ore as a block (Obtain Diamond Ore or Deepslate Diamond Ore),2 Diamonds,,Obtain Diamond Ore or Deepslate Diamond Ore,Use a Silk Touch enchanted pickaxe to obtain diamond ore as a block,diamond_ore,Enchanting,blazeandcave:enchanting/pick_like_silk,,
737,Subset,,,0,0,FALSE,,Needle Sharp,Obtain Sharpness V,12 Lapis Lazuli,,,Obtain Sharpness V,iron_sword,Enchanting,blazeandcave:enchanting/needle_sharp,,
738,Subset,,,0,0,FALSE,,Undead Slayer,Obtain Smite V,12 Lapis Lazuli,,,Obtain Smite V,rotten_flesh,Enchanting,blazeandcave:enchanting/undead_slayer,,
739,Subset,,,0,0,FALSE,,Bane of one-shotting spiders,Obtain Bane of Arthropods V,12 Lapis Lazuli,,,Obtain Bane of Arthropods V,spider_eye,Enchanting,blazeandcave:enchanting/bane_of_one_shotting_spiders,,
740,Subset,,,0,0,FALSE,,Newton's Flaming Laser Sword,Have a diamond sword with Fire Aspect II,4 Diamonds,,,Have a diamond sword with Fire Aspect II,flint_and_steel,Enchanting,blazeandcave:enchanting/newtons_flaming_laser_sword,,
741,Child,,,0,0,FALSE,,A rather pointy fence post,"Enchant a wooden sword with Sharpness V. Not really the best weapon, but it could be a minor annoyance to someone",64 Oak Fences,,,"Enchant a wooden sword with Sharpness V. Not really the best weapon, but it could be a minor annoyance to someone",oak_fence,Enchanting,blazeandcave:enchanting/a_rather_pointy_fence_post,,XP
742,Subset,,,0,0,FALSE,,Overkill,Deal eight hearts of damage in a single melee blow without using a Mace (Deal at least eight hearts of damage with any melee attack),,,Deal at least eight hearts of damage with any melee attack,Deal eight hearts of damage in a single melee blow without using a Mace,diamond_sword,Enchanting,blazeandcave:enchanting/overkill,,
743,Unique,,,0,0,FALSE,,Over-Overkill,Deal 16 hearts of damage in a single melee blow without using a Mace (Deal at least sixteen hearts of damage with any melee attack),,,Deal at least sixteen hearts of damage with any melee attack,Deal 16 hearts of damage in a single melee blow without using a Mace,netherite_axe,Enchanting,blazeandcave:enchanting/over_overkill,,XP
744,Child,,,0,0,FALSE,,Shotbow,Shoot three arrows at once with a crossbow (Shoot a crossbow with Multishot),12 Lapis Lazuli,,Shoot a crossbow with Multishot,Shoot three arrows at once with a crossbow,arrow,Enchanting,blazeandcave:enchanting/shotbow,,XP
